packet_id	n_blocks	top_mode	mode_margin	signal_strength	block_stability	composition_score	stress_score	matched_state_balance	negative_control_margin	missing_fraction	v_tag	mode_correlation_activation	mode_correlation_suppression	mode_correlation_delay	mode_correlation_persistent_loss	mode_correlation_redirection
F0341	5	delay	0.33758227233844196	0.5182525697402048	1.0	0.6823520297298782	0.16182313405944587	0.5772506712124261	0.0	0.13442622950819672	none	0.3794174744858231	-0.3794174744858231	0.716999746824265	-0.6792060410218839	-0.8325951111697764
F0342	5	delay	0.5698034615810296	0.6880753435983457	1.0	0.7008784695606314	0.17340346838260032	0.5638019284170536	0.0	0.10163934426229508	outcome	0.203997874956409	-0.203997874956409	0.7738013365374385	-0.5102403435276515	-0.8281012354601935
F0343	5	delay	0.5186224150367496	0.6918442167168891	1.0	0.7007496088991657	0.1589515867921301	0.5868307314285572	0.0	0.14098360655737704	reversal	0.23120459170705104	-0.23120459170705104	0.7498270067438007	-0.5240299632893858	-0.8320655851725066
F0344	5	delay	0.4709273499649062	0.6260263406935773	1.0	0.7175239756687096	0.15665555605779052	0.5872172652870313	0.0	0.1180327868852459	rescue	0.2314220942011333	-0.2314220942011333	0.7023494441660395	-0.51574976245583	-0.7943793204175942
F0345	5	delay	0.23120061417864962	0.4435410068983947	1.0	0.6906644346821361	0.15426506698013454	0.6171889311860533	0.0	0.10163934426229508	replication	0.38925329851910845	-0.38925329851910845	0.6204539126977581	-0.640291695188571	-0.7597786444206341
F0346	2	delay	0.019152446816290053	0.16321785233446576	1.0	0.6829878214614591	0.1623714866245129	0.5470427974594754	0.5358757340381337	0.5409836065573771	none	0.1440654055181757	-0.1440654055181757	0.16321785233446576	-0.18412843672169368	-0.2809821671425283
F0347	2	delay	0.24922030632595402	0.2539542607618121	1.0	0.7531331729030049	0.1485388634872478	0.5281478113548892	0.2847558750494916	0.4344262295081967	outcome	-0.004733954435858071	0.004733954435858071	0.2539542607618121	-0.0849896565077003	-0.20234200461002688
F0348	2	delay	0.008949502142163779	0.3174073325285348	1.0	0.7271254835394148	0.14664911050797175	0.5409002463950947	0.3206969262426349	0.5327868852459017	reversal	0.30845783038637103	-0.30845783038637103	0.3174073325285348	-0.4139794229687633	-0.36931871670449656
F0349	2	delay	0.03216253808064412	0.3577935796559675	1.0	0.7133349824944266	0.16574633727961116	0.6074338113844311	0.42959725814293415	0.45081967213114754	rescue	0.32563104157532335	-0.32563104157532335	0.3577935796559675	-0.4244313111215519	-0.46444422182873996
F0350	2	activation	0.1569268382152169	0.3887625551743031	1.0	0.6760510377355545	0.15224578088917853	0.5672851910805199	0.5731261020341233	0.6065573770491803	replication	0.3887625551743031	-0.3887625551743031	0.23183571695908617	-0.4544200949980541	-0.40520556789299195
