trajectory	contrast	pathway	day	delta_auc_day	direction_day	main_direction	direction_consistent	n_cells_case	n_cells_reference
mk	T21_GATA1s_vs_T21_wtGATA1	IRON_TRANSPORT	D11	-0.2815584540367126	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	MEGAKARYOCYTE_MATURATION	D7	-0.2190407812595367	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	MEGAKARYOCYTE_MATURATION	D9	-0.4800520539283752	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	MEGAKARYOCYTE_MATURATION	D11	-0.177553042769432	negative	negative	True	7725	7332
mk	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D7	-1.0130703449249268	negative	negative	True	6109	7477
mk	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D9	-1.1993460655212402	negative	negative	True	9157	9336
mk	T21_GATA1s_vs_T21_wtGATA1	RIBOSOME_TRANSLATION	D11	-0.476882666349411	negative	negative	True	7725	7332
mk	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D7	0.6076505780220032	positive	positive	True	7477	8596
mk	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D9	0.21012943983078	positive	positive	True	9336	8522
mk	T21_wtGATA1_vs_Euploid_wtGATA1	CELL_CYCLE_E2F_G2M	D11	0.2986530661582947	positive	positive	True	7332	9598
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D7	0.5571240186691284	positive	positive	True	7477	8596
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D9	0.1492322236299514	positive	positive	True	9336	8522
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_E2F_TARGETS	D11	0.2914805114269256	positive	positive	True	7332	9598
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V1	D7	0.8077653646469116	positive	positive	True	7477	8596
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V1	D9	0.236214742064476	positive	positive	True	9336	8522
