protein_name	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
HLA_E	ATP1B1	1122	0.034769943477536924	0.004542059181427508	0.030227884296109418	0.10072697828037513	0.6903494037381996	up	0.6666666666666666	0.6666666666666666
HLA_E	ATP5MD	610	-0.015136395109990963	0.004542059181427508	-0.01967845429141847	0.38602728597518043	0.9058537727001459	down	0.6666666666666666	0.6666666666666666
HLA_E	B2M	1379	-0.12283188851921358	0.004542059181427508	-0.1273739477006411	1.390719928558615e-16	1.4796582923112366e-14	down	1.0	1.0
HLA_E	BOLA2	683	0.009729039709761557	0.004542059181427508	0.005186980528334049	0.823683666926015	0.9625636687285074	up	0.3333333333333333	0.3333333333333333
HLA_E	BOLA2B	678	-0.018639947674819055	0.004542059181427508	-0.023182006856246565	0.29546805093570916	0.8478422089147429	down	0.6666666666666666	0.6666666666666666
HLA_E	BZW2	973	0.02918737162101986	0.004542059181427508	0.02464531243959235	0.2070042376518951	0.8083022613073999	up	1.0	1.0
HLA_E	C19orf48	1126	-0.0010017520993900219	0.004542059181427508	-0.00554381128081753	0.7550113904220137	0.9625636687285074	down	0.6666666666666666	0.6666666666666666
HLA_E	C1QBP	673	0.036598958041523716	0.004542059181427508	0.03205689886009621	0.1497322979183848	0.6903494037381996	up	0.6666666666666666	0.6666666666666666
HLA_E	C6orf226	1015	0.010143396869125808	0.004542059181427508	0.005601337687698301	0.7699975106201429	0.9625636687285074	up	0.6666666666666666	0.6666666666666666
HLA_E	CCND1	643	0.04770590156153239	0.004542059181427508	0.043163842380104886	0.06723124699340427	0.6903494037381996	up	0.6666666666666666	0.6666666666666666
HLA_E	CCND2	1015	0.022772558914834252	0.004542059181427508	0.018230499733406742	0.34705141803110306	0.8730910667379577	up	0.6666666666666666	0.6666666666666666
HLA_E	CCR10	988	-0.02791029070804324	0.004542059181427508	-0.032452349889470745	0.07999635080074169	0.6903494037381996	down	0.6666666666666666	0.6666666666666666
HLA_E	CCT3	190	-0.0014979481520099715	0.004542059181427508	-0.006040007333437479	0.8899939408279485	0.9726791760832838	down	0.6666666666666666	0.6666666666666666
HLA_E	CCT6A	56	-0.044202114109363054	0.004542059181427508	-0.04874417329079056	0.5042361531307281	0.9220111589905085	down	0.6666666666666666	0.6666666666666666
HLA_E	CD151	998	-0.006118505271226464	0.004542059181427508	-0.01066056445265397	0.5640475535754481	0.9220111589905085	down	0.6666666666666666	0.6666666666666666
HLA_E	CD274	1222	0.030824756942633934	0.004542059181427508	0.026282697761206425	0.12213295396396158	0.6903494037381996	up	0.6666666666666666	0.6666666666666666
HLA_E	CD44	1193	-0.01508234916906717	0.004542059181427508	-0.019624408350494678	0.24623634182240672	0.8478422089147429	down	1.0	1.0
HLA_E	CD47	1033	-0.0227123675067102	0.004542059181427508	-0.027254426688137705	0.13558434667335278	0.6903494037381996	down	1.0	1.0
